,date,title,source,contents,link
136,1일,"남관표 주일대사 ""한일 사이 어려움은 잠시…양국 노력 중""",매일경제,"한국대사는 한일 관계 악화에 대해 ""이런 관계를 지속할 수는 없다. 언젠가는 개선해야 할 관계라면 하루라도 빨리 개선하는 것이 양국에 도움이 된다""고 28일 밝혔다. 그는 이날 일본 도쿄 히비야공원에서 열린 한일축제한...",http://news.mk.co.kr/newsRead.php?year=2019&no=776428
137,1일,"남관표 주일대사 ""한일 관계 하루 빨리 개선해야…양국 노력 중""",경인일보,"28일 일본 도쿄도(東京都) 지요다(千代田)구 히비야(日比谷)공원에서 열린 '한일축제한마당' 개회식에서 남관표 주일본한국대사가 환영사를 하고 있다. /연합뉴스 남관표 일본주재 한국대사는 한일 관계 악화에 대해 ""이런...",http://www.kyeongin.com/main/view.php?key=20190928010009949
138,5일,손경식 경총 회장 “한일 양국 경제뿐 아니라 안보 협력 튼튼히 해야”,조선비즈언론사 선정,"손 회장은 이날 서울 롯데호텔에서 개최된 제51회 한일경제인회의 개회식 기조연설에서 ""최근 미국과 중국 간... 시점에 한일관계마저 경색되면서 불확실성과 불안정성이 증폭되고 있다""며 이같이 말했다. 그는 ""동북아...",http://biz.chosun.com/site/data/html_dir/2019/09/24/2019092401972.html
139,2일,"日 방위백서, '독도 전투기 출격' 시사…한일관계 경색될듯",뉴스핌,"악화일로를 걷는 한일관계가 한층 경색될 것으로 보인다. 일본 정부는 안보 협력 국가를 소개하는... 백서는 한국에 대해 ""폭넓은 분야에서 방위 협력을 진행할 방침""이라면서도 한일 군사정보보호협정(GSOMIA·지소미아)...",http://www.newspim.com/news/view/20190927000855
140,4일,한일경제인 “경제 교류 지속해야”…대화 통한 韓日 관계 복원 촉구,동아일보언론사 선정,"한국과 일본 재계가 모인 한일경제인회의는 25일 양국 갈등에 대해 깊은 우려를 표하면서 대화를 통한 관계 복원을 양국 정부에 촉구했다. 한일경제협회와 일한경제협회는 24, 25일 이틀에 걸쳐 서울 중구 롯데호텔에서...",http://www.donga.com/news/article/all/20190925/97587900/1
141,3일,"한일 외교장관 “북핵 문제, 미래지향적 관계 위해 계속 공조”",KBS,"한일 외교장관이 뉴욕에서 회담을 갖고, 북핵 문제와 미래지향적 관계를 위해 계속 공조하고 노력한다는 데... 반면, 모테기 외무상은 한일 군사정보보호협정, 이른바 지소미아 종료에 대한 재고를 요청한 것으로...",http://news.kbs.co.kr/news/view.do?ncd=4291486&ref=A
142,5일,손경식 경총 회장 “한일 양국 경제뿐 아니라 안보 협력 튼튼히 해야”,조선비즈언론사 선정,"손 회장은 이날 서울 롯데호텔에서 개최된 제51회 한일경제인회의 개회식 기조연설에서 ""최근 미국과 중국 간... 시점에 한일관계마저 경색되면서 불확실성과 불안정성이 증폭되고 있다""며 이같이 말했다. 그는 ""동북아...",http://biz.chosun.com/site/data/html_dir/2019/09/24/2019092401972.html
143,4일,"""아베가 한일관계 설명하자 트럼프는 고개를 끄덕이며 경청""",중앙일보언론사 선정,"외신 기자로부터 ""징용문제와 수출규제,지소미아 등으로 인해 악화된 한일관계를 어떻게 풀 것이냐. 타국과의 무역관계에 영향을 미치는 것 아니냐""는 질문을 받은 아베 총리는 먼저 대뜸 ""수출 관리와 징용문제는 전혀...",https://news.joins.com/article/olink/23179962
144,2일,"日 방위백서, '독도 전투기 출격' 시사…한일관계 경색될듯",뉴스핌,"악화일로를 걷는 한일관계가 한층 경색될 것으로 보인다. 일본 정부는 안보 협력 국가를 소개하는... 백서는 한국에 대해 ""폭넓은 분야에서 방위 협력을 진행할 방침""이라면서도 한일 군사정보보호협정(GSOMIA·지소미아)...",http://www.newspim.com/news/view/20190927000855
145,5일,"김정숙 여사, 日아키에 여사와 포옹…한일회담 사실상 불발",동아일보언론사 선정,"일본의 수출규제 조치 등으로 한일 양국의 갈등이 심화하고 있는 가운데, 방미 일정을 소화 중인 문재인 대통령의 부인 김정숙 여사가 아베 신조 일본 총리의 부인 아베 아키에 여사와 만나 포옹했다. 청와대에 따르면...",http://www.donga.com/news/article/all/20190925/97577982/2
